timestamp,model,provider,context,iteration,program_id,input_tokens,output_tokens,prompt_tokens,completion_tokens,total_tokens,accepted_prediction_tokens,reasoning_tokens,rejected_prediction_tokens,cached_tokens,cache_creation_input_tokens,cache_read_input_tokens
1766178339.7815096,claude-sonnet-4-5,anthropic,evolution,55,a0027b75-6a53-4655-9b38-25d1989379a7,2,4599,,,4601,,,,,41025,0
1766178353.9068651,claude-sonnet-4-5,anthropic,evolution,56,d6a5b660-48d9-4015-b32d-7b31fddb5ad7,2,5258,,,5260,,,,,48143,0
1766178374.2237685,claude-sonnet-4-5,anthropic,evolution,57,262a9115-2431-43f6-9e20-f05a7c9fd0f6,2,5645,,,5647,,,,,42773,0
1766178378.9146492,claude-sonnet-4-5,anthropic,evolution,58,41146c5e-4bc6-41b3-9ffe-256c83cc4a96,2,4625,,,4627,,,,,41903,0
1766178489.5420327,gpt-5-mini,openai,evolution,59,d78cb23c-9205-477e-83ac-a121d3ec899a,39213,2933,39213,2933,42146,0,768,0,,,
1766178571.148976,gpt-5-mini,openai,evolution,60,d97b6015-3969-4e68-8845-7fd9478775e8,32681,3694,32681,3694,36375,0,384,0,,,
1766178739.9254458,gpt-5-mini,openai,evolution,61,2df56e40-5b3d-4d15-9c01-74ca99283703,32427,3924,32427,3924,36351,0,576,0,,,
1766178785.913033,claude-sonnet-4-5,anthropic,evolution,63,18db6003-35ef-4b76-8c3b-1805c46d90d0,2,2993,,,2995,,,,,41269,0
1766178800.735595,gpt-5-mini,openai,evolution,64,0a47d8c2-0947-4804-aaf6-b0211235de8b,39530,4440,39530,4440,43970,0,384,0,,,
1766178813.647043,claude-sonnet-4-5,anthropic,evolution,62,a35dc062-9b09-4930-8566-e55fd61c5018,2,5736,,,5738,,,,,44736,0
1766178846.418886,gpt-5-mini,openai,evolution,65,eb6cfac7-51c3-452b-b728-623dce81f5a8,34619,4571,34619,4571,39190,0,576,0,,,
1766178888.2198396,claude-sonnet-4-5,anthropic,evolution,66,fb9d8f21-f300-41c4-a2bf-3622def943da,2,3143,,,3145,,,,,39583,0
1766178916.8307316,claude-sonnet-4-5,anthropic,evolution,67,d6a5b660-48d9-4015-b32d-7b31fddb5ad7,2,4857,,,4859,,,,,47708,0
1766178994.2599645,claude-sonnet-4-5,anthropic,evolution,68,3486900b-424f-478a-bce9-a828589f0d49,2,5069,,,5071,,,,,25859,0
1766178994.3364413,gpt-5-mini,openai,evolution,69,fdcb917a-51b4-4acc-a4d4-370bd8baf6c3,31812,4184,31812,4184,35996,0,576,0,,,
1766179052.067452,claude-sonnet-4-5,anthropic,evolution,70,90f81e60-ee2c-4fa9-a373-59ef3dd89307,2,5289,,,5291,,,,,42644,0
1766179070.327302,gpt-5-mini,openai,evolution,71,29706117-7c90-451f-a1d1-a7c045fac8d1,39372,4394,39372,4394,43766,0,512,0,,,
1766179144.253648,claude-sonnet-4-5,anthropic,evolution,72,a35dc062-9b09-4930-8566-e55fd61c5018,2,5178,,,5180,,,,,45483,0
1766179197.880526,gpt-5-mini,openai,evolution,73,262a9115-2431-43f6-9e20-f05a7c9fd0f6,39686,4458,39686,4458,44144,0,704,0,,,
1766179229.5707052,gpt-5-mini,openai,evolution,74,41146c5e-4bc6-41b3-9ffe-256c83cc4a96,34061,3959,34061,3959,38020,0,448,0,,,
1766179427.703929,gpt-5-mini,openai,evolution,76,ae27a625-e752-4380-802e-8a0ac8d35613,33278,4331,33278,4331,37609,0,576,0,,,
1766179441.2804434,claude-sonnet-4-5,anthropic,evolution,75,41d174a4-5fcd-4184-83ee-82dddbc2bb8e,2,5288,,,5290,,,,,39715,0
1766179540.2361202,gpt-5-mini,openai,evolution,77,e2df0882-067f-4787-a167-b55e29f97667,29548,3382,29548,3382,32930,0,384,0,,,
1766179568.0984182,gpt-5-mini,openai,evolution,78,f2f173b2-9cdd-46f9-88ab-e9de22ba3525,35168,3940,35168,3940,39108,0,448,0,,,
1766179618.0362177,gpt-5-mini,openai,evolution,79,d2f699e6-e62c-4be9-a926-212cfbdcfb03,40498,3498,40498,3498,43996,0,448,0,,,
1766179734.7081366,gpt-5-mini,openai,evolution,82,cedbc52d-37c1-4400-83b4-cac9716f70c0,35603,3558,35603,3558,39161,0,576,0,6016,,
1766179764.0473275,claude-sonnet-4-5,anthropic,evolution,80,03d8a286-681c-47ea-8eac-dd7fd0461e0e,2,6591,,,6593,,,,,50185,0
1766179769.2802973,claude-sonnet-4-5,anthropic,evolution,81,eb6cfac7-51c3-452b-b728-623dce81f5a8,2,4739,,,4741,,,,,42702,0
1766179865.1593375,gpt-5-mini,openai,evolution,84,cedbc52d-37c1-4400-83b4-cac9716f70c0,38605,3719,38605,3719,42324,0,512,0,,,
1766179866.353128,gpt-5-mini,openai,evolution,83,2df56e40-5b3d-4d15-9c01-74ca99283703,35164,3731,35164,3731,38895,0,448,0,19328,,
1766179942.16535,gpt-5-mini,openai,evolution,85,29b7f79e-3991-49ec-abad-adbf4678b69f,36513,3181,36513,3181,39694,0,576,0,10240,,
1766180010.7435515,gpt-5-mini,openai,evolution,86,147cc200-9371-407b-a7f1-cbecefccd182,36180,5363,36180,5363,41543,0,960,0,,,
1766180012.1670249,gpt-5-mini,openai,evolution,87,3c8293da-e3d2-4e38-a4ed-709cb05bc538,35672,3718,35672,3718,39390,0,704,0,,,
1766180153.042481,gpt-5-mini,openai,evolution,88,16f528da-84b5-4551-be6e-aa7400d08693,33664,4256,33664,4256,37920,0,704,0,,,
1766180188.2543795,gpt-5-mini,openai,evolution,89,2df56e40-5b3d-4d15-9c01-74ca99283703,36686,4291,36686,4291,40977,0,512,0,,,
1766180214.9526248,gpt-5-mini,openai,evolution,90,b2691662-cb21-4bf3-b552-20b52c24ca33,41065,3255,41065,3255,44320,0,512,0,,,
1766180306.7174554,gpt-5-mini,openai,evolution,92,2df56e40-5b3d-4d15-9c01-74ca99283703,36314,3705,36314,3705,40019,0,448,0,,,
1766180314.834901,gpt-5-mini,openai,evolution,91,a0027b75-6a53-4655-9b38-25d1989379a7,30513,4416,30513,4416,34929,0,896,0,,,
1766180371.2295876,gpt-5-mini,openai,evolution,94,41d174a4-5fcd-4184-83ee-82dddbc2bb8e,30542,4231,30542,4231,34773,0,576,0,,,
1766180378.052538,gpt-5-mini,openai,evolution,93,52a8520e-d5fe-4278-9da0-3f09d4f809a3,37362,5130,37362,5130,42492,0,1472,0,,,
1766180501.5444767,gpt-5-mini,openai,evolution,96,58c186bb-a5f4-41b6-8f91-34f790cdb981,37459,4922,37459,4922,42381,0,704,0,,,
1766180523.840302,claude-sonnet-4-5,anthropic,evolution,95,d78cb23c-9205-477e-83ac-a121d3ec899a,2,6018,,,6020,,,,,50324,0
1766180640.5712638,gpt-5-mini,openai,evolution,97,bc4e9d9d-311f-47c7-929e-6af8bbe72140,39322,4100,39322,4100,43422,0,512,0,,,
1766180643.2977805,gpt-5-mini,openai,evolution,98,803d9d5a-f30f-49d0-8f71-b22f7ee510a2,33563,3794,33563,3794,37357,0,640,0,2944,,
1766180792.8764703,gpt-5-mini,openai,evolution,99,29706117-7c90-451f-a1d1-a7c045fac8d1,38562,3951,38562,3951,42513,0,576,0,,,
1766180820.5782251,gpt-5-mini,openai,evolution,100,a0027b75-6a53-4655-9b38-25d1989379a7,29635,2739,29635,2739,32374,0,384,0,10240,,
